rank,config_id,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,eligible_topics,converged_topics,macro_precision,macro_recall,macro_f1,macro_hit_at_1,macro_hit_at_3,macro_hit_at_5,mean_density,mean_isolated_ratio,mean_average_degree,mean_connected_components,mean_redundancy,max_redundancy,mean_word_count,mean_budget_utilization,mean_pagerank_iterations,mean_runtime_seconds
29,t=0.02|d=0.95|tol=1e-04|iter=1000|words=100|mmr=0.70,0.02,0.95,0.0001,1000,100,True,0.7,34,50,0.1401387827858416,0.05382709307427028,0.07593668182127163,0.2647058823529412,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08308207057824309,1.0,99.86,0.9986,22.32,0.07638823665999553
30,t=0.02|d=0.95|tol=1e-04|iter=100|words=100|mmr=0.70,0.02,0.95,0.0001,100,100,True,0.7,34,50,0.1401387827858416,0.05382709307427028,0.07593668182127163,0.2647058823529412,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08308207057824309,1.0,99.86,0.9986,22.32,0.07647709502000055
31,t=0.02|d=0.95|tol=1e-04|iter=300|words=100|mmr=0.70,0.02,0.95,0.0001,300,100,True,0.7,34,50,0.1401387827858416,0.05382709307427028,0.07593668182127163,0.2647058823529412,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08308207057824309,1.0,99.86,0.9986,22.32,0.07753678749999893
32,t=0.02|d=0.95|tol=1e-08|iter=300|words=100|mmr=0.70,0.02,0.95,1e-08,300,100,True,0.7,34,50,0.1401387827858416,0.05382709307427028,0.07593668182127163,0.2647058823529412,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08310129532742229,1.0,99.86,0.9986,70.98,0.14662312000000213
33,t=0.02|d=0.95|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.95,1e-08,1000,100,True,0.7,34,50,0.1401387827858416,0.05382709307427028,0.07593668182127163,0.2647058823529412,0.4411764705882353,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08310129532742229,1.0,99.86,0.9986,70.98,0.14725468081999962
34,t=0.02|d=0.70|tol=1e-06|iter=100|words=100|mmr=0.70,0.02,0.7,1e-06,100,100,True,0.7,34,50,0.13172268907563026,0.05123785224973533,0.07288792802948377,0.20588235294117646,0.4117647058823529,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07573144998242784,1.0,99.86,0.9986,16.64,0.0681420065799999
35,t=0.02|d=0.70|tol=1e-06|iter=300|words=100|mmr=0.70,0.02,0.7,1e-06,300,100,True,0.7,34,50,0.13172268907563026,0.05123785224973533,0.07288792802948377,0.20588235294117646,0.4117647058823529,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07573144998242784,1.0,99.86,0.9986,16.64,0.06933512747999987
36,t=0.02|d=0.70|tol=1e-06|iter=1000|words=100|mmr=0.70,0.02,0.7,1e-06,1000,100,True,0.7,34,50,0.13172268907563026,0.05123785224973533,0.07288792802948377,0.20588235294117646,0.4117647058823529,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07573144998242784,1.0,99.86,0.9986,16.64,0.07385822912000002
37,t=0.02|d=0.70|tol=1e-04|iter=300|words=100|mmr=0.70,0.02,0.7,0.0001,300,100,True,0.7,34,50,0.13172268907563026,0.05123785224973533,0.07288792802948377,0.20588235294117646,0.4411764705882353,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07594464592640991,1.0,99.86,0.9986,9.24,0.057233132539999954
38,t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,0.02,0.7,0.0001,100,100,True,0.7,34,50,0.13172268907563026,0.05123785224973533,0.07288792802948377,0.20588235294117646,0.4411764705882353,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07594464592640991,1.0,99.86,0.9986,9.24,0.05785973076000001
39,t=0.02|d=0.70|tol=1e-04|iter=1000|words=100|mmr=0.70,0.02,0.7,0.0001,1000,100,True,0.7,34,50,0.13172268907563026,0.05123785224973533,0.07288792802948377,0.20588235294117646,0.4411764705882353,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07594464592640991,1.0,99.86,0.9986,9.24,0.058718534260000045
40,t=0.02|d=0.70|tol=1e-08|iter=300|words=100|mmr=0.70,0.02,0.7,1e-08,300,100,True,0.7,34,50,0.12093837535014004,0.04813327708633664,0.06806793983353651,0.20588235294117646,0.4117647058823529,0.5,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07439811664909451,1.0,99.86,0.9986,24.54,0.0815722125200002
41,t=0.02|d=0.70|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.7,1e-08,1000,100,True,0.7,34,50,0.12093837535014004,0.04813327708633664,0.06806793983353651,0.20588235294117646,0.4117647058823529,0.5,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07439811664909451,1.0,99.86,0.9986,24.54,0.08311565003999981
42,t=0.02|d=0.70|tol=1e-08|iter=100|words=100|mmr=0.70,0.02,0.7,1e-08,100,100,True,0.7,34,50,0.12093837535014004,0.04813327708633664,0.06806793983353651,0.20588235294117646,0.4117647058823529,0.5,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.07439811664909451,1.0,99.86,0.9986,24.54,0.08627386658000034
